SUBSETID	MEMBERID	MEMBERSTATUS	LINKEDID
80691000000139	420900006	1	
80691000000139	420938005	1	
80691000000139	420945005	1	
80691000000139	420991002	1	
80691000000139	421009000	1	
80691000000139	421020000	1	
80691000000139	421023003	1	
80691000000139	421047005	1	
80691000000139	421077004	1	
80691000000139	421102007	1	
80691000000139	421154002	1	
80691000000139	421184005	1	
80691000000139	421189000	1	
80691000000139	421214008	1	
80691000000139	421218006	1	
80691000000139	421230000	1	
80691000000139	421272004	1	
80691000000139	421283008	1	
80691000000139	421312009	1	
80691000000139	421315006	1	
80691000000139	421394009	1	
80691000000139	421403008	1	
80691000000139	421415007	1	
80691000000139	421431004	1	
80691000000139	421454008	1	
80691000000139	421460008	1	
80691000000139	421473007	1	
80691000000139	421508002	1	
80691000000139	421510000	1	
80691000000139	421529006	1	
80691000000139	421571007	1	
80691000000139	421597001	1	
80691000000139	421660003	1	
80691000000139	421666009	1	
80691000000139	421671002	1	
80691000000139	421695000	1	
80691000000139	421706001	1	
80691000000139	421708000	1	
80691000000139	421710003	1	
80691000000139	421766003	1	
80691000000139	421792005	1	
80691000000139	421827003	1	
80691000000139	421835000	1	
80691000000139	421837008	1	
80691000000139	421851008	1	
80691000000139	421874007	1	
80691000000139	421883002	1	
80691000000139	421929001	1	
80691000000139	421977001	1	
80691000000139	421979003	1	
80691000000139	421983003	1	
80691000000139	421998001	1	
80691000000139	422003001	1	
80691000000139	422012004	1	
80691000000139	422031005	1	
80691000000139	422052002	1	
80691000000139	422074008	1	
80691000000139	422089004	1	
80691000000139	422127002	1	
80691000000139	422136003	1	
80691000000139	422159009	1	
80691000000139	422177004	1	
80691000000139	422189002	1	
80691000000139	422194002	1	
80691000000139	422241000	1	
80691000000139	422260007	1	
80691000000139	422282000	1	
80691000000139	422337001	1	
80691000000139	423391007	1	
80691000000139	425641000000100	1	
80691000000139	426165006	1	
80691000000139	426247003	1	
80691000000139	42746002	1	
80691000000139	427578006	1	
80691000000139	42770003	1	
80691000000139	427851000000108	1	
80691000000139	428015005	1	
80691000000139	428061000000103	1	
80691000000139	428230005	1	
80691000000139	429721005	1	
80691000000139	431891000000106	1	
80691000000139	432411000000106	1	
80691000000139	4359001	1	
80691000000139	438791000000109	1	
80691000000139	438971000000108	1	
80691000000139	438998000	1	
80691000000139	439057000	1	
80691000000139	439912007	1	
80691000000139	439913002	1	
80691000000139	440291000000103	1	
